Sl,State/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1.0,Andhra Pradesh,22218,26627,29101,28976,31136,30660,35121,35831,36465,38570,37766,39288,43232,21676,22449
2.0,Arunachal Pradesh,218,207,160,162,129,141,203,180,182,197,199,202,333,397,408
3.0,Assam,5497,6764,7551,8117,8760,8438,8797,8531,11810,12996,11241,12346,16035,27637,22751
4.0,Bihar,13034,13009,11323,12334,11220,11757,14955,14223,14457,13134,18157,20147,21404,19791,16471
5.0,Chhattisgarh,5312,5107,4869,6051,5491,5758,5855,6026,6337,6577,6423,6594,8205,8823,6822
6.0,Goa,186,135,191,227,229,159,145,176,235,214,159,286,496,436,313
7.0,Gujarat,13464,12563,14060,15549,16510,18188,21665,22194,21170,20459,22223,23965,30684,25769,18126
8.0,Haryana,5845,7031,6524,6610,6275,6857,7071,7421,7350,7540,6696,7264,10652,9850,8253
9.0,Himachal Pradesh,1372,1245,1083,1203,1267,1151,1476,1494,1428,1481,1268,1325,1908,1996,1683
10.0,Jammu & Kashmir,2424,2764,3580,3345,3163,3896,4411,3233,4095,3569,5098,5204,5262,4956,5061
11.0,Jharkhand,3750,3765,3931,3931,3432,4117,4528,4932,4309,5172,4873,6549,8513,6965,6370
12.0,Karnataka,9819,10047,10376,9154,10590,11035,11302,12780,13941,15179,16084,16680,19628,22974,21254
13.0,Kerala,8076,8968,8726,9849,10669,11406,11210,11353,11132,13253,13964,13517,13153,13893,11429
14.0,Madhya Pradesh,22308,25388,24089,27027,24254,23753,25990,26163,28262,27814,27818,29247,34005,42201,36620
15.0,Maharashtra,30600,30106,29336,30432,34156,36197,36040,38390,41095,40377,39643,41048,53640,48878,45828
16.0,Manipur,102,161,150,132,127,104,133,147,183,141,170,202,221,214,145
17.0,Meghalaya,54,80,82,96,106,158,130,161,178,228,258,271,382,378,279
18.0,Mizoram,138,155,173,79,85,138,152,177,165,194,149,215,195,267,187
19.0,Nagaland,38,49,30,36,37,64,58,68,72,66,49,75,86,81,99
20.0,Odisha,7455,7413,7805,7884,9524,10408,10424,10910,11346,16112,14122,17183,19126,20262,20468
21.0,Punjab,4664,4724,4192,3642,3303,3882,4211,4233,4100,4646,4436,5048,6875,6988,6280
22.0,Rajasthan,13831,13295,12692,14640,12838,14546,14548,14097,15455,15335,16764,17095,21261,23742,20063
23.0,Sikkim,24,24,36,69,42,39,63,55,76,68,59,69,102,182,59
24.0,Tamil Nadu,14116,12756,11721,12750,12275,9483,11601,11345,9450,9649,9727,10913,11161,9268,9266
25.0,Telangana,-,-,-,-,-,-,-,-,-,-,-,-,-,19963,18713
26.0,Tripura,590,558,878,983,1308,1272,1107,1774,2727,2127,2676,1946,2593,2068,1311
27.0,Uttar Pradesh,42283,35542,23433,32979,32720,34720,48291,57874,63332,58330,72153,77745,100021,112462,104864
28.0,Uttarakhand,1436,1750,1827,2660,1648,2176,2711,1690,2064,1750,1344,1420,1688,1667,1417
29.0,West Bengal,11114,14160,15992,16613,19227,22398,22175,24328,20671,26549,26320,34023,36248,50231,36265
,TOTAL STATE(S),239968,244393,233911,255530,260521,272901,304373,319786,332087,341727,359839,389867,467109,504015,443254
30.0,A & N Islands,34,30,36,44,32,49,80,85,126,131,86,73,134,126,124
31.0,Chandigarh,174,196,206,331,306,352,290,216,158,138,128,268,481,390,463
32.0,D&N Haveli,24,19,24,32,35,25,21,64,20,46,14,30,29,17,37
33.0,Daman & Diu,42,14,10,15,17,28,57,51,38,51,55,45,49,5,21
34.0,Delhi UT,3124,3080,4789,5196,5853,6207,5648,3115,2753,3040,3475,3981,9106,8336,10508
35.0,Lakshadweep,0,3,3,1,0,1,2,2,2,1,0,1,5,3,6
36.0,Puducherry,223,246,221,173,191,260,337,191,152,205,205,110,96,88,118
,TOTAL UT(S),3621,3588,5289,5792,6434,6922,6435,3724,3249,3612,3963,4508,9900,8965,11277
,TOTAL (ALL INDIA),243589,247981,239200,261322,266955,279823,310808,323510,335336,345339,363802,394375,477009,512980,454531
