Sl,State/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1.0,Andhra Pradesh,3639,4055,4577,4259,4003,4431,4893,4922,5441,4622,4554,4834,6806,4915,5827
2.0,Arunachal Pradesh,95,80,66,68,51,40,72,73,70,88,69,77,81,164,114
3.0,Assam,1161,1372,1660,1322,1288,1716,1466,1307,1614,2020,1794,2250,2538,3775,4006
4.0,Bihar,982,997,965,1058,715,720,1360,1165,795,808,1036,278,509,733,300
5.0,Chhattisgarh,2106,1728,1755,1972,1734,1880,1831,1934,1817,1969,1948,1891,2551,3067,2121
6.0,Goa,15,24,15,24,42,25,24,28,35,37,28,42,170,188,153
7.0,Gujarat,1033,1015,970,1132,1064,957,1227,1291,1025,986,1051,1118,1756,2016,1799
8.0,Haryana,567,603,475,491,506,653,572,533,553,605,534,698,1785,2080,1846
9.0,Himachal Pradesh,431,419,335,347,357,391,404,358,345,418,373,317,565,683,521
10.0,Jammu & Kashmir,1034,1377,1966,1857,1563,2015,2306,1748,2044,2053,2759,2814,2812,2581,2610
11.0,Jharkhand,384,433,425,425,299,445,402,302,327,273,340,355,552,603,870
12.0,Karnataka,2401,2366,2266,1925,2066,2445,2456,2927,3159,3411,3381,3982,5909,8487,9118
13.0,Kerala,2317,2568,2328,2825,2842,2951,2959,3452,3238,3585,4257,4167,4406,4728,4140
14.0,Madhya Pradesh,8196,8760,8326,8022,7762,7235,8053,7686,7567,7863,7904,8085,9699,12149,10254
15.0,Maharashtra,3385,3260,3147,3355,3865,4246,3864,4334,3938,4386,4704,4885,10084,12538,13675
16.0,Manipur,12,41,54,26,27,29,47,47,40,23,24,34,51,47,53
17.0,Meghalaya,13,14,25,17,21,50,24,18,42,29,58,45,116,99,84
18.0,Mizoram,58,55,96,60,43,60,64,76,78,79,63,82,90,102,92
19.0,Nagaland,0,1,3,2,7,4,10,22,13,15,12,16,14,15,13
20.0,Odisha,2278,2316,2440,2468,3318,3565,3713,3765,3589,4116,4541,6060,6117,6719,7599
21.0,Punjab,462,425,439,337,361,422,472,512,355,454,402,413,1132,1269,1284
22.0,Rajasthan,3282,2967,2816,3150,2885,2975,2753,2893,2692,2598,2740,2658,4786,5888,4542
23.0,Sikkim,0,17,21,58,28,16,11,18,36,23,17,17,29,53,23
24.0,Tamil Nadu,2283,2847,2615,2767,2515,1667,1945,2220,1916,1946,2092,2091,1823,1617,1912
25.0,Telangana,-,-,-,-,-,-,-,-,-,-,-,-,-,4039,3808
26.0,Tripura,62,95,157,189,156,162,197,349,434,456,455,375,460,440,334
27.0,Uttar Pradesh,3960,2944,1518,2592,2600,2785,3485,4109,4026,4189,5252,5143,12214,14702,13878
28.0,Uttarakhand,150,234,196,222,149,204,306,160,178,184,153,199,394,395,242
29.0,West Bengal,1163,1377,2021,1714,2027,2004,1712,1584,1640,1841,2243,2879,5426,6106,5037
,TOTAL STATE(S),41469,42390,41677,42684,42294,44093,46628,47833,47007,49077,52784,55805,82875,100198,96255
30.0,A & N Islands,19,17,12,13,14,19,32,32,40,40,15,20,48,47,57
31.0,Chandigarh,33,39,19,24,36,28,39,22,39,28,24,54,166,119,91
32.0,D&N Haveli,7,2,7,8,10,5,0,7,2,12,2,2,1,2,6
33.0,Daman & Diu,0,0,3,0,1,5,0,1,5,2,0,0,0,3,9
34.0,Delhi UT,650,634,647,756,968,887,1143,855,710,794,865,939,4129,3837,5099
35.0,Lakshadweep,0,1,1,0,0,0,1,0,0,0,0,0,1,2,5
36.0,Puducherry,66,78,78,94,101,79,160,85,53,71,77,7,9,35,49
,TOTAL UT(S),775,771,767,895,1130,1023,1375,1002,849,947,983,1022,4354,4045,5316
,TOTAL (ALL INDIA),42244,43161,42444,43579,43424,45116,48003,48835,47856,50024,53767,56827,87229,104243,101571
