Sl,State/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1.0,Andhra Pradesh,9725,12134,15784,15583,15409,15531,18016,19398,19018,21572,20719,21251,22265,9270,8984
2.0,Arunachal Pradesh,9,5,9,4,12,8,18,12,12,11,16,26,32,44,70
3.0,Assam,1515,2108,2473,3171,3439,3200,3818,3577,5753,6208,4894,5435,7806,12960,10404
4.0,Bihar,3838,4278,3940,4123,3151,3124,3973,3732,4939,3850,5134,6963,7923,5997,5396
5.0,Chhattisgarh,1439,1519,1528,2267,1923,1932,2195,2297,2462,2450,2200,2581,2892,2531,1592
6.0,Goa,36,11,55,45,14,34,47,23,46,41,21,54,84,38,14
7.0,Gujarat,10192,9413,10818,12236,13272,14878,18050,18602,17595,16877,18141,19982,24611,19209,12982
8.0,Haryana,3134,3159,3044,3427,3303,3538,3880,3712,3661,4057,3533,3606,4803,4205,3628
9.0,Himachal Pradesh,648,485,460,534,541,506,718,731,648,677,507,505,765,679,517
10.0,Jammu & Kashmir,110,113,149,172,130,222,320,290,469,418,617,634,898,985,982
11.0,Jharkhand,943,1125,1025,1025,965,1141,1193,1651,1560,1600,1346,2207,3020,1755,1424
12.0,Karnataka,3413,3219,3419,2795,3334,3488,4182,4827,5784,6515,6801,6317,5771,5523,4770
13.0,Kerala,4288,5028,5004,5637,6287,6771,6626,6303,5828,7522,7305,6923,6330,6818,4998
14.0,Madhya Pradesh,7155,8497,8265,10310,8498,8416,9424,10196,11182,10253,10313,11104,13127,15860,13317
15.0,Maharashtra,20940,20255,19932,20490,22959,24060,24745,25979,29493,28261,26325,27379,31492,24741,20129
16.0,Manipur,4,11,10,0,18,6,15,12,25,13,22,21,18,18,22
17.0,Meghalaya,3,0,1,3,3,8,13,29,6,11,34,14,25,31,29
18.0,Mizoram,0,3,2,0,0,0,1,5,4,3,7,7,5,11,9
19.0,Nagaland,0,0,0,0,0,5,0,4,0,3,1,0,6,3,4
20.0,Odisha,1972,2076,2215,2086,2671,2661,2089,2121,2915,4840,3739,4699,4673,6523,5051
21.0,Punjab,2746,2514,2177,1939,1544,1683,1911,1963,1871,2159,2229,2288,2785,2720,2410
22.0,Rajasthan,7082,7312,7058,8116,6799,8277,8486,8027,9326,9113,9791,9949,10944,11583,9590
23.0,Sikkim,0,3,1,1,3,4,8,5,12,4,4,6,5,6,2
24.0,Tamil Nadu,1545,1797,2558,2540,2606,2392,3538,3351,2697,2981,2879,4019,4475,3292,3634
25.0,Telangana,-,-,-,-,-,-,-,-,-,-,-,-,-,9604,10082
26.0,Tripura,252,249,477,493,882,857,618,1064,1760,1172,1776,1147,1491,1117,575
27.0,Uttar Pradesh,19827,17126,7089,14394,14154,14590,23465,27984,31807,29853,33465,36115,42676,46755,41802
28.0,Uttarakhand,746,802,854,1454,698,989,1437,570,890,625,382,484,491,472,634
29.0,West Bengal,6645,8792,9549,10212,12201,15354,14700,17521,13884,18387,17583,22911,21400,32174,22508
,TOTAL STATE(S),108207,112034,107896,123057,124816,133675,153486,163986,173647,179476,179784,196627,220813,224924,185559
30.0,A & N Islands,7,3,15,15,7,7,34,23,35,12,8,4,10,8,16
31.0,Chandigarh,33,51,112,134,142,190,143,80,28,18,24,86,112,130,192
32.0,D&N Haveli,4,8,2,6,13,6,3,11,0,14,4,0,0,5,15
33.0,Daman & Diu,13,4,0,8,7,14,19,20,4,6,0,11,3,0,2
34.0,Delhi UT,1200,844,2594,2435,2572,3256,2688,725,658,878,860,1026,1137,577,1266
35.0,Lakshadweep,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1
36.0,Puducherry,3,12,4,1,3,31,39,16,21,9,21,7,16,4,16
,TOTAL UT(S),1260,922,2727,2600,2744,3505,2926,875,748,937,917,1135,1278,724,1508
,TOTAL (ALL INDIA),109467,112956,110623,125657,127560,137180,156412,164861,174395,180413,180701,197762,222091,225648,187067
